Exported,Product,Site Name,Tank Dip,Transaction Date/Time,Vehicle Number,Vehicle Registration,Vehicle Brand,Vehicle Model,Volume
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 05:25:00,DJ66597,,,,0.14000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 05:28:00,DJ66597,,,,23.13000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 05:59:00,EC84109,,,,28.18000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 09:04:00,DV71838,,,,5.05000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 09:12:00,MYK01H,,,,21.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 09:16:00,EC36401,,,,16.06000
False,Diesel,Europcar Gl. Kongevej,,2025-01-02 11:39:00,DA55683,,,,5.11000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 11:58:00,EB59127,,,,9.23000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 12:40:00,DT26854,,,,20.08000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 13:10:00,EB59056,,,,3.08000
False,Diesel,Europcar Gl. Kongevej,,2025-01-02 14:48:00,DM32478,,,,4.07000
False,Diesel,Europcar Gl. Kongevej,,2025-01-02 14:57:00,EC59138,,,,6.09000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 15:08:00,DT28446,,,,39.60000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 15:11:00,DV41593,,,,17.59000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 16:45:00,DB71475,,,,29.11000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-02 16:47:00,EB89500,,,,3.52000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-03 05:58:00,EA95048,,,,5.05000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-03 09:29:00,EC84109,,,,13.08000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-03 09:55:00,EB10862,,,,51.04000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-03 14:51:00,DV17707,,,,5.07000
False,Diesel,Europcar Gl. Kongevej,,2025-01-05 06:00:00,ED27946,,,,25.57000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-05 06:11:00,EC59149,,,,20.09000
False,Diesel,Europcar Gl. Kongevej,,2025-01-05 06:17:00,DA55683,,,,28.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-05 06:28:00,DJ60435,,,,3.65000
False,Diesel,Europcar Gl. Kongevej,,2025-01-05 10:31:00,DM32476,,,,3.69000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-05 11:40:00,EB46686,,,,5.99000
False,Diesel,Europcar Gl. Kongevej,,2025-01-05 12:43:00,DV31527,,,,2.92000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-05 14:08:00,DT85248,,,,21.48000
False,Diesel,Europcar Gl. Kongevej,,2025-01-06 05:26:00,DM11085,,,,3.04000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 05:54:00,DN10560,,,,20.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 06:03:00,EC97141,,,,16.08000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 06:06:00,EB78748,,,,4.40000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 08:01:00,DH65237,,,,9.75000
False,Diesel,Europcar Gl. Kongevej,,2025-01-06 08:24:00,DB63211,,,,9.32000
False,Diesel,Europcar Gl. Kongevej,,2025-01-06 08:31:00,EA61130,,,,45.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 10:01:00,DM10987,,,,5.00000
False,Diesel,Europcar Gl. Kongevej,,2025-01-06 11:35:00,DV17711,,,,11.07000
False,Diesel,Europcar Gl. Kongevej,,2025-01-06 11:49:00,EC89726,,,,10.00000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 11:59:00,DA57642,,,,33.82000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-06 12:06:00,DF70077,,,,4.57000
False,Diesel,Europcar Gl. Kongevej,,2025-01-06 14:14:00,DB25977,,,,5.16000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-07 06:06:00,EC97141,,,,1.55000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-07 08:55:00,DT28475,,,,3.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-07 11:35:00,CZ78653,,,,32.02000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-07 14:40:00,DV17701,,,,11.03000
False,Diesel,Europcar Gl. Kongevej,,2025-01-07 16:21:00,DT16528,,,,15.00000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 05:56:00,DJ83907,,,,30.10000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 06:03:00,DF45816,,,,3.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 06:16:00,DM86981,,,,25.03000
False,Diesel,Europcar Gl. Kongevej,,2025-01-08 06:30:00,ED27942,,,,29.93000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 07:29:00,EC36421,,,,9.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 09:28:00,DT85254,,,,6.15000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 10:05:00,DT88073,,,,5.20000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 10:42:00,EB19592,,,,5.76000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 12:12:00,DV17701,,,,3.29000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 12:22:00,EF20837,,,,13.30000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-08 16:34:00,DJ66609,,,,10.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-08 16:54:00,EB64636,,,,19.44000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 08:07:00,DP9292152,,,,3.56000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 08:59:00,DT26849,,,,3.46000
